space,address,words,encoding,scale,name,unit,class,access
input,0,2,i32,1,site.poi.active_power_w,W,fast,ro
input,2,2,i32,1,site.poi.reactive_power_var,var,fast,ro
input,4,1,u16,100,site.poi.voltage_kv,kV,fast,ro
input,5,1,u16,1000,site.poi.frequency_hz,Hz,fast,ro
input,6,1,u16,100,site.soc_pct,%,medium,ro
input,7,1,u16,100,site.soh_pct,%,slow,ro
input,8,2,u32,0.001,site.available_discharge_kw,kW,fast,ro
input,10,2,u32,0.001,site.available_charge_kw,kW,fast,ro
input,12,2,u32,0.001,site.meter.export_kwh,kWh,slow,ro
input,14,2,u32,0.001,site.meter.import_kwh,kWh,slow,ro
input,16,1,u16,1,site.substation.hv_breaker_closed,bool,medium,ro
input,17,1,u16,1,site.ems.mode,enum,medium,ro
input,18,2,i32,1,site.ems.setpoint_w,W,fast,ro
input,20,1,i16,10,site.weather.ambient_c,degC,medium,ro
input,21,1,u16,1,site.weather.irradiance_wm2,W/m2,medium,ro
input,22,2,u32,1,site.aux_power_w,W,medium,ro
input,24,2,u32,1,site.transformer_loss_w,W,medium,ro
input,26,2,u32,1,site.sim.tick,count,fast,ro
input,28,2,u32,1,site.sim.unix_time_s,s,fast,ro
input,30,1,u16,1,site.pcs_online_count,count,medium,ro
input,31,1,u16,1,site.alarm_count,count,medium,ro
holding,0,2,i32,1,control.site_setpoint_w,W,fast,rw
holding,2,1,u16,1,control.ems_mode,enum,fast,rw
input,1000,1,i16,0.001,block00.pcs.p_ac_kw,kW,fast,ro
input,1001,1,i16,0.001,block00.pcs.p_dc_kw,kW,fast,ro
input,1002,1,u16,1,block00.pcs.state,enum,fast,ro
input,1003,1,u16,100,block00.soc_pct,%,medium,ro
input,1004,1,i16,10,block00.cell_temp_min_c,degC,medium,ro
input,1005,1,i16,10,block00.cell_temp_max_c,degC,medium,ro
input,1006,1,u16,1,block00.alarm_bits,bitfield,medium,ro
input,1010,1,i16,0.001,block01.pcs.p_ac_kw,kW,fast,ro
input,1011,1,i16,0.001,block01.pcs.p_dc_kw,kW,fast,ro
